OUTCOME_CONCEPT_ID,REACTION_NAME
42889639,Maternal exposure during delivery
36110673,Paronychia
37320235,Skin depigmentation
35809396,Denervation atrophy
35104886,Neutropenic infection
37119468,Breast calcifications
35607390,Atrophy of globe
35708742,Tongue injury
35809200,Mucosal erosion
36316381,BLOOD POTASSIUM DECREASED
37520759,Mitral valve repair
35205339,Right atrial dilatation
36110099,Clostridial infection
36009888,Sepsis syndrome
35606868,Corneal striae
37219809,Status asthmaticus
35809096,Sense of oppression
37521227,Ear operation
37220030,Nasal turbinate hypertrophy
35708359,Haemorrhoidal haemorrhage
36919104,Hypervigilance
37520916,Abdominal cavity drainage
36774655,Brow ptosis
37520719,CARDIAC PACEMAKER INSERTION
37521201,TOOTH REPAIR
36517132,CHONDROPATHY
35506689,DIABETES INSIPIDUS
36416612,HYPERVOLAEMIA
35306135,CONGENITAL GENITOURINARY ABNORMALITY
35104076,ANAEMIA MEGALOBLASTIC
37019257,URINARY BLADDER HAEMORRHAGE
37521104,ILEOSTOMY CLOSURE
35809102,CEREBELLAR ATAXIA
35607150,PERIORBITAL OEDEMA
36009876,ENGRAFTMENT SYNDROME
35205104,PULMONARY VALVE INCOMPETENCE
35104822,ALLERGIC GRANULOMATOUS ANGIITIS
36211603,THROMBOSIS IN DEVICE
36617228,METASTASES TO OVARY
35708560,LIP BLISTER
37420460,HIGH RISK SEXUAL BEHAVIOUR
35606893,IRIS DISORDER
35104758,LYMPHATIC DISORDER
37119704,PELVIC HAEMATOMA
35707938,ABDOMINAL SEPSIS
37320235,SKIN DEPIGMENTATION
36110587,INFECTIVE EXACERBATION OF CHRONIC OBSTRUCTIVE AIRWAYS DISEASE
36516934,SPONDYLOLYSIS
37220061,TONSILLAR HYPERTROPHY
35809231,AXILLARY PAIN
36110333,CANDIDA PNEUMONIA
35104739,LYMPH NODE TUBERCULOSIS
35204949,TACHYCARDIA FOETAL
36718605,TETHERED CORD SYNDROME
37520867,VITRECTOMY
35607374,RETINAL PIGMENT EPITHELIAL TEAR
37119743,VAGINAL FISTULA
36516764,METATARSALGIA
35707599,GASTROINTESTINAL TRACT ADENOMA
35104795,SPLENIC HAEMORRHAGE
37019237,BLADDER DILATATION
36718120,ENCEPHALOPATHY NEONATAL
35205341,RIGHT VENTRICULAR DYSFUNCTION
35607065,PUNCTATE KERATITIS
35809281,LIQUID PRODUCT PHYSICAL ISSUE
35305863,NIEMANN-PICK DISEASE
36718523,ATONIC SEIZURES
36718063,TRANSVERSE SINUS THROMBOSIS
42890468,VIBRATORY SENSE INCREASED
37019423,Glycosuria
36211766,Ureteric perforation
36918916,Head banging
37119700,Adnexa uteri mass
35104644,Non-Hodgkin's lymphoma recurrent
37119636,Genital discharge
35306252,Congenital pulmonary hypertension
37622515,Extravasation blood
36211715,FALLOPIAN TUBE PERFORATION
35305998,CONGENITAL MULTIPLEX ARTHROGRYPOSIS
36617351,PERINEURIAL CYST
36110502,AMNIOTIC CAVITY INFECTION
35809167,Symptom masked
42889476,Dermal absorption impaired
36314857,BONE DENSITY INCREASED
37521141,Platelet transfusion
35104109,Febrile bone marrow aplasia
35909641,Focal nodular hyperplasia
37520924,Explorative laparotomy
35809328,DRUG INEFFECTIVE FOR UNAPPROVED INDICATION
36312550,TROPONIN I INCREASED
35606825,Cataract cortical
37119470,BREAST DISORDER FEMALE
35809375,WITHDRAWAL BLEED
35809308,DEVICE INTERACTION
36211537,VASCULAR PSEUDOANEURYSM
36211460,DRUG ADMINISTERED AT INAPPROPRIATE SITE
37219888,GRUNTING
36313571,GAMMA-GLUTAMYLTRANSFERASE ABNORMAL
36110225,SEPTIC ARTHRITIS STAPHYLOCOCCAL
35506617,INSULIN-REQUIRING TYPE 2 DIABETES MELLITUS
37420469,VICTIM OF CHILD ABUSE
36009813,BUTTERFLY RASH
42890123,MYCOBACTERIUM TUBERCULOSIS COMPLEX TEST POSITIVE
35305703,Congenital oral malformation
35809241,Metastatic pain
37521028,Abdominal hernia repair
36009862,CUTANEOUS AMYLOIDOSIS
37521195,Gingivectomy
37220063,TONSILLAR ULCER
36416543,BONE ATROPHY
37522363,CENTRAL VENOUS CATHETER REMOVAL
35506732,PANCREATIC NEUROENDOCRINE TUMOUR
42890219,LOWER URINARY TRACT SYMPTOMS
35305959,Craniorachischisis
36009912,Renal vasculitis
42889501,SKIN SENSITISATION
37520603,Bone lesion excision
35305664,ABDOMINAL TRANSPOSITION
42890819,VASCULAR COMPRESSION
36919074,Overconfidence
36919074,OVERCONFIDENCE
42889094,PERSISTENT CLOACA
42890203,NECK SURGERY
42890586,FOETAL PLACENTAL THROMBOSIS
36211312,SCAR
35707930,GASTROENTERITIS VIRAL
36718175,MEMORY IMPAIRMENT
35406359,DEAFNESS
36918947,ANHEDONIA
37622481,ANGIOPATHY
36718354,DISORIENTATION
35909577,HEPATITIS B
36211078,STRESS FRACTURE
35708108,IMPAIRED GASTRIC EMPTYING
35205112,TRICUSPID VALVE DISEASE
36919037,AFFECT LABILITY
35708129,OESOPHAGEAL SPASM
36617644,OVARIAN CANCER
36718197,Bradykinesia
35607492,VISUAL FIELD DEFECT
36919048,FRUSTRATION
35708167,APHAGIA
36919128,DRUG DEPENDENCE
36516851,MUSCLE TWITCHING
36516907,INTERVERTEBRAL DISC PROTRUSION
35607306,MYDRIASIS
36211347,RENAL INJURY
37219874,PULMONARY THROMBOSIS
35406387,LABYRINTHITIS
35809355,THERAPEUTIC RESPONSE INCREASED
36211260,LIGAMENT SPRAIN
36313957,BLOOD TEST ABNORMAL
35506635,HYPERINSULINISM
35909605,AUTOIMMUNE HEPATITIS
36009878,GLOMERULONEPHRITIS
35708649,MALIGNANT ASCITES
35909528,HEPATIC FIBROSIS
35506494,DIABETIC KETOACIDOSIS
35306001,DYSMORPHISM
35205041,DYSPNOEA PAROXYSMAL NOCTURNAL
36211394,Subcutaneous haematoma
35707930,Gastroenteritis viral
37521792,Lung lobectomy
36516990,Neck mass
36919145,Acute psychosis
35406307,Ear discomfort
36718239,Paresis
35707901,Gastric infection
36009722,SERUM SICKNESS
35305701,OESOPHAGEAL ATRESIA
35204905,ATRIOVENTRICULAR BLOCK SECOND DEGREE
35708155,Abdominal pain lower
37220016,Nasal disorder
36312568,Blood alkaline phosphatase increased
36416638,Hyperlipidaemia
35809001,Injection site necrosis
36009755,Toxic skin eruption
36919068,Homicidal ideation
36312023,Angiogram
42890633,Inflammatory marker increased
35708319,Oesophageal ulcer haemorrhage
36516814,Joint crepitation
35708554,Cheilitis
36211111,Facial bones fracture
36315365,Skin turgor decreased
35707755,Colon injury
35204920,WOLFF-PARKINSON-WHITE SYNDROME
35708684,PERIRENAL HAEMATOMA
37420543,PHYSICAL DISABILITY
37521332,Tonsillectomy
35205255,ACUTE PULMONARY OEDEMA
36110459,ABSCESS JAW
36009804,GUILLAIN-BARRE SYNDROME
37119717,UTERINE ENLARGEMENT
36211296,EXCORIATION
36718062,SUPERIOR SAGITTAL SINUS THROMBOSIS
36718235,PARALYSIS
36316343,BLOOD CALCIUM DECREASED
35306202,HYDROCELE
36516982,WEIGHT BEARING DIFFICULTY
36717962,ENCEPHALITIS
36516951,Back pain
36718354,Disorientation
36516765,Pain in jaw
36316391,Blood sodium decreased
35809232,Breakthrough pain
36315984,Forced expiratory volume decreased
36617419,Meningioma
35104748,LYMPHADENOPATHY MEDIASTINAL
36211688,POSTOPERATIVE WOUND COMPLICATION
36312473,THYROID FUNCTION TEST ABNORMAL
37019399,MICTURITION URGENCY
36211758,COMPLICATIONS OF TRANSPLANTED KIDNEY
36718013,Intraventricular haemorrhage
36211460,Drug administered at inappropriate site
36516888,Rhabdomyolysis
36314160,Blood glucose increased
37019455,Nephrocalcinosis
35808795,Application site discolouration
36211272,Nerve compression
36211758,Complications of transplanted kidney
35607106,Endophthalmitis
35909612,Hepatic steatosis
36211282,Accident at work
37521840,Mechanical ventilation
36211114,Skull fracture
36313544,Bilirubin conjugated increased
37521846,Endotracheal intubation
36718589,Neurogenic bladder
35809097,Temperature intolerance
37622403,Arteriosclerosis
37119497,Nipple pain
35707695,Diverticulum intestinal haemorrhagic
35708182,Mastication disorder
35104874,AGRANULOCYTOSIS
36316209,Blood alcohol increased
36718183,Tachyphrenia
36311984,Heart rate irregular
36110089,Lyme disease
35708045,Enterocolitis haemorrhagic
35607332,Vitreous adhesions
36919234,Suicidal behaviour
37119641,Genital swelling
37320125,Skin fragility
35809347,Surgical failure
36009879,IgA nephropathy
42890331,Nasal obstruction
37521194,Gingival operation
35204930,Bradycardia neonatal
36110386,Onychomycosis
35205187,Kounis syndrome
42888981,Atrioventricular dissociation
36516803,Joint instability
35406403,Eustachian tube dysfunction
37520695,Benign breast lump removal
36617253,Papilloma
35607141,Neuromyelitis optica
36617514,Malignant urinary tract neoplasm
36517126,Tenosynovitis stenosans
36516881,Amyotrophy
35104822,Allergic granulomatous angiitis
35104152,Protein S deficiency
36718190,Chorea
35104122,Haemorrhagic disorder
35607134,Oculomucocutaneous syndrome
35809269,Failure of child resistant mechanism for pharmaceutical product
36314124,PCO2 increased
35707778,Intra-abdominal haematoma
35808907,Implant site swelling
36009764,Laryngeal oedema
43562713,Spinal subdural haematoma
37521331,Adenotonsillectomy
36211508,Unwanted awareness during anaesthesia
35708741,Tongue haemorrhage
36718516,Temporal lobe epilepsy
35305908,Adactyly
35808912,Implant site warmth
37420510,BEDRIDDEN
35809024,INJECTION SITE VESICLES
35809401,METAPLASIA
35708616,LIP DISCOLOURATION
36315539,PROTEIN TOTAL DECREASED
37320341,VASODILATATION
37320219,RASH SCARLATINIFORM
36313662,ANTIPHOSPHOLIPID ANTIBODIES
35707571,PAINFUL DEFAECATION
35808946,INFUSION SITE PRURITUS
37320323,SEBORRHOEA
36617225,METASTASES TO MENINGES
36516862,FLOPPY INFANT
36314249,BLOOD URIC ACID DECREASED
37520911,RETINAL OPERATION
35708150,MUCOUS STOOLS
36516731,BONE FORMATION DECREASED
35809187,PSEUDOPOLYP
36110571,SEXUALLY TRANSMITTED DISEASE
36516963,CHEST WALL MASS
42890238,Sperm concentration zero
37520635,ARTHROSCOPIC SURGERY
35205309,CARDIAC ANEURYSM
35708156,Abdominal pain upper
36919132,Substance abuse
36009750,Reaction to preservatives
36919209,Sleep disorder
36516874,Trismus
35305663,PYLORIC STENOSIS
35707984,ABSCESS INTESTINAL
36211383,Blister
36211491,Accidental overdose
35205272,Cardiomyopathy
35205374,Pericarditis
42889622,Atypical femur fracture
35204968,Cardiac death
36314255,Brain natriuretic peptide increased
42890235,Sperm concentration decreased
35205246,Cardiogenic shock
35306167,Renal aplasia
37320341,Vasodilatation
35808801,Application site exfoliation
37019305,Kidney fibrosis
36313661,Antinuclear antibody positive
36211141,Chemical injury
35708271,Duodenal ulcer haemorrhage
37119782,Vulvovaginal dryness
