DRUG_ID,REACTION_1,REACTION_2,N11,N10,N01,N00,odds_ratio,p_adj,significant
722424,35809005,35809076,213,2128,3870,47017,1.2160513930174273,0.007090088006478023,True
722424,35809005,35809008,5,2336,5,50882,21.78167808219178,6.413332430309144e-05,True
722424,35809005,36211088,11,2330,109,50778,2.1993070047643424,0.021362905883610006,True
722424,35809005,36211312,20,2321,115,50772,3.8043571923646105,4.5250185465127175e-06,True
722424,35809005,45885661,9,2332,15,50872,13.08885077186964,1.087551560048369e-06,True
722424,35809005,42889310,49,2292,312,50575,3.465474951895109,1.7719520887734106e-11,True
722424,35809005,36110682,5,2336,29,50858,3.7536903637222485,0.01996859735904135,True
1112807,35205038,36009783,92,4242,531,73692,3.009837061187959,1.218625853398398e-16,True
1112807,35205038,37219822,36,4298,64,74159,9.705546184271753,3.474149557926682e-19,True
1112807,35205038,36617436,39,4295,102,74121,6.598459220708074,2.5980938113260546e-16,True
1112807,35205038,36110736,154,4180,1011,73212,2.66793690457598,2.7778750472042457e-22,True
1112807,35205038,35708633,9,4325,27,74196,5.718381502890173,0.00019589645593600115,True
1112807,35205038,35406398,10,4324,0,74223,inf,1.6177354764629795e-12,True
1112807,35205038,36110530,6,4328,9,74214,11.431608133086876,0.0001598775662985279,True
1112807,35205038,37320079,19,4315,56,74167,5.831704188048336,5.349666140105627e-08,True
1112807,35205038,37219829,72,4262,81,74142,15.46316283435007,7.053586639471579e-47,True
1112807,35205038,36718280,61,4273,571,73652,1.8413882960781316,3.8586775900489155e-05,True
1112807,35205038,36110697,79,4255,647,73576,2.1113460480169706,3.155553878481552e-08,True
1112807,35205038,36718404,11,4323,62,74161,3.043626364606419,0.0030583506015035623,True
1112807,35205038,37219945,27,4307,102,74121,4.555436430434723,6.757683180980371e-09,True
1112807,35205038,36718067,44,4290,510,73713,1.4824132730015083,0.013732947755947895,True
1112807,35205038,36718449,46,4288,182,74041,4.364192943250779,1.4102426553867408e-13,True
1112807,35205038,37320287,7,4327,23,74200,5.218999005235076,0.0015360028174189156,True
