reaction_id,cluster_id,cluster_size
37219839,358,1
36211296,359,1
36617219,360,1
35506774,361,1
35708164,362,1
35708593,363,1
36416542,364,1
45885760,365,1
35406310,366,1
36211064,367,1
35205263,368,1
35809116,369,1
36416540,370,1
37520719,371,1
36110708,372,1
36516749,373,1
36315364,374,1
36918945,375,1
35809104,376,1
35707641,377,1
35406368,378,1
35809252,379,1
37622434,380,1
35708050,381,1
37622501,382,1
37119619,383,1
36517082,384,1
36416637,385,1
35707512,386,1
36718433,387,1
36918937,388,1
36110630,389,1
36009823,390,1
36110253,391,1
36312553,392,1
35707692,393,1
36416641,394,1
36211061,395,1
36312070,396,1
37622462,397,1
35205090,398,1
35707689,399,1
35707907,400,1
35909492,401,1
35708690,402,1
36110591,403,1
35809155,404,1
35607460,405,1
35205235,406,1
42889454,407,1
37219868,408,1
36517149,409,1
36416527,410,1
35606965,411,1
36517016,412,1
36313371,413,1
36918948,414,1
35227885,415,1
36516762,416,1
36314073,417,1
36110597,418,1
35809361,419,1
36919183,420,1
35205160,421,1
36718379,422,1
37219934,423,1
35205240,424,1
35506521,425,1
35606954,426,1
35707820,427,1
36416550,428,1
36617155,429,1
37219897,430,1
35205255,431,1
36110369,432,1
37019316,433,1
36311930,434,1
37019330,435,1
36919194,436,1
36416622,437,1
37219801,438,1
37522263,439,1
35205041,440,1
35607110,441,1
37019425,442,1
36718136,443,1
36718317,444,1
35809115,445,1
35707593,446,1
35809097,447,1
35809319,448,1
35406387,449,1
42890388,450,1
36516955,451,1
36416534,452,1
36718235,453,1
37622451,454,1
36316392,455,1
35708620,456,1
37320246,457,1
36516993,458,1
35708598,459,1
36211461,460,1
36617190,461,1
37019396,462,1
36211099,463,1
36211375,464,1
36516943,465,1
36918904,466,1
36416500,467,1
37320215,468,1
35205317,469,1
35708176,470,1
36313153,471,1
35809096,472,1
36617753,473,1
35909487,474,1
36617287,475,1
36110603,476,1
35707866,477,1
35708553,478,1
36416721,479,1
36919118,480,1
36110642,481,1
36516755,482,1
36718273,483,1
35708226,484,1
35205197,485,1
37219893,486,1
35707535,487,1
36416548,488,1
37522181,489,1
35406391,490,1
36516961,491,1
36211476,492,1
35708182,493,1
36516931,494,1
36312074,495,1
36110466,496,1
43053715,497,1
36516908,498,1
35708240,499,1
37219925,500,1
35909441,501,1
35707815,502,1
35506476,503,1
37622465,504,1
36314157,505,1
35708564,506,1
36109991,507,1
35708154,508,1
37019338,509,1
36516927,510,1
35707814,511,1
35708585,512,1
36211297,513,1
36111036,514,1
37219999,515,1
35707833,516,1
37019401,517,1
36312531,518,1
35607430,519,1
36416497,520,1
37320117,521,1
36311887,522,1
35506764,523,1
35808924,524,1
36315580,525,1
35809399,526,1
37521841,527,1
37019300,528,1
36110583,529,1
37320155,530,1
37219918,531,1
36211111,532,1
36211368,533,1
35708632,534,1
43054153,535,1
35708640,536,1
35606964,537,1
37522192,538,1
35506747,539,1
36009713,540,1
35809094,541,1
36009952,542,1
36110229,543,1
36517123,544,1
36617158,545,1
35707659,546,1
35406361,547,1
36718017,548,1
36416589,549,1
35205232,550,1
35809220,551,1
36516907,552,1
37622397,553,1
35809234,554,1
35708619,555,1
36416600,556,1
36110618,557,1
36110589,558,1
42889280,559,1
35708153,560,1
35707861,561,1
36919046,562,1
35707625,563,1
36516986,564,1
35205061,565,1
37119539,566,1
36718354,567,1
35606826,568,1
35205243,569,1
36516734,570,1
35205062,571,1
37320134,572,1
37019440,573,1
36314255,574,1
37622482,575,1
37219922,576,1
36718163,577,1
37220030,578,1
37080784,579,1
35708594,580,1
37019321,581,1
36617703,582,1
36718606,583,1
37119493,584,1
37320098,585,1
36313976,586,1
36313259,587,1
35606985,588,1
35707630,589,1
35909452,590,1
36516922,591,1
35708691,592,1
35506459,593,1
36919133,594,1
36718036,595,1
37420549,596,1
36717985,597,1
36516746,598,1
35809041,599,1
35607483,600,1
36617247,601,1
35607450,602,1
37019326,603,1
36211113,604,1
36316371,605,1
35707572,606,1
35909511,607,1
35708724,608,1
35708207,609,1
37220007,610,1
35708615,611,1
36517151,612,1
35606995,613,1
37019322,614,1
36009839,615,1
35809190,616,1
35809146,617,1
35506797,618,1
36617304,619,1
36718554,620,1
37522333,621,1
37622476,622,1
36718463,623,1
36516808,624,1
35205096,625,1
36110475,626,1
37220017,627,1
36516751,628,1
42889015,629,1
35707763,630,1
36516765,631,1
35708064,632,1
35205113,633,1
36516958,634,1
42890581,635,1
37420580,636,1
36009738,637,1
35205268,638,1
35205349,639,1
36312541,640,1
36211076,641,1
35809077,642,1
35607458,643,1
43053794,644,1
36110584,645,1
36312550,646,1
36617411,647,1
36311936,648,1
36718408,649,1
36313176,650,1
37019409,651,1
36918867,652,1
36314117,653,1
36311983,654,1
37219849,655,1
35809072,656,1
36312087,657,1
37622400,658,1
36718478,659,1
36211263,660,1
35205066,661,1
36211710,662,1
35606824,663,1
36416593,664,1
35809406,665,1
35708257,666,1
37219924,667,1
36211237,668,1
36110687,669,1
35205091,670,1
35707730,671,1
37622505,672,1
37622408,673,1
37220041,674,1
35708155,675,1
35406307,676,1
35506777,677,1
42890331,678,1
35708167,679,1
35708083,680,1
42889224,681,1
37019254,682,1
37320223,683,1
35606946,684,1
36718180,685,1
35809120,686,1
36617309,687,1
36516796,688,1
